################
### Caucasus ###
################

rub_al_khali13 = 010117
rub_al_khali14 = 010118
rub_al_khali15 = 010119
syrian_desert8 = 01011a
syrian_desert9 = 01011b
syrian_desert10 = 01011c
syrian_desert11 = 01011d
syrian_desert12 = 01011e
syrian_desert13 = 01011f
al_jazair_desert = 010120
syrian_desert14 = 010121
negev_desert = 010122
zagros_mountains_et1 = 010123
zagros_mountains_et2 = 010124

###############
#### India ####
###############

#CORRIDORS
tibet_passage_et1 = ffff16
tibet_passage_et2 = ffff17

#WASTELANDS
karakoram_et1 = 010125
himalaya_et1 = 010126
himalaya_et2 = 010127
himalaya_et3 = 010128
himalaya_et4 = 010129
himalaya_et5 = 01012a
himalaya_et6 = 01012b
himalaya_et7 = 01012c
himalaya_et8 = 01012d
himalaya_et9 = 01012e
himalaya_et10 = 01012f
himalaya_et11 = 010130
himalaya_et12 = 010131
naga_hills_et1 = 010132
naga_hills_et2 = 010133
naga_hills_et3 = 010134
suleiman_range_et1 = 010136
suleiman_range_et2 = 010137
tora_bora_mountains_et = 010138

###############
### SE Asia ###
###############

#WASTELANDS
bilauktaung_range_et1 = 010139
bilauktaung_range_et2 = 01013a
karen_jungle_et = 01013b
phou_mountains_et = 01013c
fan_si_mountains_et = 01013d
phou_den_din_mountains_et = 01013e
annamese_range_et = 01013f
sankalakhiri_et = 010140
borneo_jungle_et1 = 010141
gaoligongshan_et = 010147

################
### Mongolia ###
################

#WASTELANDS
atas_bogd_mountains_et = 010142
mongol_altay_mountains_et = 010143
altay_mountains_et1 = 010144
altay_mountains_et2 = 010145
altay_mountains_et3 = 010146
saur_et = 0101ab
khan_khentii_mountains_et = 010148
eastern_sayan_mountains_et = 010149

################
#### Sahara ####
################

tintane = 896d04
kiffa = cda105
guerou = 6abb05
aleg = bccc05
boutilimit = 896d05
al_mahbes = cda106
tamanrasset = 6abb06
tessalit = bccc06
timiaouine = 896d06
in_guezzam = cda107
bordj_badji_mokhtar = 6abb07
arlit = bccc07
illizi = 896d07
bardai = cda108
jaghbub = 6abb08
menaka = bccc08

#CORRIDORS
sahara_passage_et1 = ffff18
sahara_passage_et2 = ffff19
sahara_passage_et3 = ffff1a
sahara_passage_et4 = ffff1b
sahara_passage_et5 = ffff1c
sahara_passage_et6 = ffff1d
sahara_passage_et7 = ffff1e
sahara_passage_et8 = ffff1f
sahara_passage_et9 = ffff20
sahara_passage_et10 = ffff21
sahara_passage_et11 = ffff22
sahara_passage_et12 = ffff23
sahara_passage_et13 = ffff24
sahara_passage_et14 = ffff25
sahara_passage_et15 = ffff26
sahara_passage_et16 = ffff27

#WASTELANDS
erg_amatlich_et1 = 010156
erg_amatlich_et2 = 010157
erg_amatlich_et3 = 010158
erg_aoukar_et1 = 010159
erg_aoukar_et2 = 01015a
el_djouf_et1 = 01015b
el_djouf_et2 = 01015c
el_djouf_et3 = 01015d
el_djouf_et4 = 01015e
el_djouf_et5 = 01015f
tanezrouft_desert_et1 = 010160
tanezrouft_desert_et2 = 010161
talak_desert_et1 = 010162
talak_desert_et2 = 010163
talak_desert_et3 = 010164
plain_of_tamlelt_et1 = 010165
plain_of_tamlelt_et2 = 010166
el_eglab_massif_et1 = 010167
tenere_et1 = 010168
erg_of_bilma_et1 = 010169
rabyanah_sand_sea_et1 = 01016a
erg_selima_et1 = 01016b
erg_selima_et2 = 01016c
erg_selima_et3 = 01016d
great_sand_sea_et1 = 01016e
grand_erg_oriental_et1 = 01016f
western_desert_et1 = 010170

###############
# West Africa #
###############

#WASTELANDS
oban_hills_et = 010171
obudu_plateau_et = 010172
guinean_jungle_et1 = 010173
guinean_jungle_et2 = 010174

##################
# Central Africa #
##################

impfondo = 896d08
betou = cda109
nola_congo = 6abb09
ouesso = bccc09
makokou = 896d09
makoua_congo = cda10a
mbandaka = 6abb0a
lisala = bccc0a
bumba = 896d0a
kisangani = cda10b
bondo_north = 6abb0b
boende = bccc0b
kindu = 896d0b
ikela = cda10c
walikale = 6abb0c

#WASTELANDS
congo_jungle_et1 = 010175
congo_jungle_et2 = 010176
congo_jungle_et3 = 010177
congo_jungle_et4 = 010178
congo_jungle_et5 = 010179
congo_jungle_et6 = 01017a
congo_jungle_et7 = 01017b
congo_jungle_et8 = 01017c
congo_jungle_et9 = 01017d
congo_jungle_et10 = 01017e
congo_jungle_et11 = 01017f
congo_jungle_et12 = 010180
congo_jungle_et13 = 010181
congo_jungle_et14 = 010182
congo_jungle_et15 = 010183
mount_meru = 010185

################
# South Africa #
################

tsabong = bccc0c
werda = 896d0c

#WASTELANDS
drakensberg_mountains_et = 010184

#################
# North America #
#################

qamanituaq = cda10d #Baker Lake
sagvaaniqtuuq = 6abb0d #Prudhoe Bay
ulguniq = bccc0d #Wainwright
utqiagvik_et = 896d0d #Barrow
iqaluktuuttiaq = cda10e #Cambridge Bay

#CORRIDORS
atigun_pass = ffff28

#WASTELANDS
wrangell_mountains_et = 010186
coast_mountains_et = 010187
gwichin_uplands_et = 010188
nabesna_forest_et = 010189

#SEA
wainwright_inlet = 00fefe
point_barrow = 00b2fe
tigvariak_island = 01fefe
barter_island = 01b2fe
mackenzie_estuary = 02fefe
inuvialuit_coast = 02b2fe
amundsen_gulf = 03fefe
dolphin_and_union_strait = 03b2fe
coronation_gulf = 04fefe
dease_strait = 04b2fe

###############
# Mesoamerica #
###############

ox_te_tuun = 6abb0e #Calakmul
siaan_kaan = bccc0e #Uaxactun

#WASTELANDS
tawahka_jungle_et = 01018a
chiriqui_mountains_et = 01018b
darien_gap_et = 01018c

#################
# South America #
#################

atabapo = 896d0e
atures = cda10f
tapuruquara = 6abb0f #Santa Isabel do Rio Negro
uaupes = bccc0f #Sao Gabriel da Cachoeira
karasabai = 896d0f
iauarete = cda110
mitu = 6abb10
galibi_marwono = bccc10 #Oiapoque
maroni = 896d10 #Grand-Santi
pokigron = cda111
jutai = 6abb11
tabatinga = bccc11
amatura = 896d11
calamar = cda112
caballococha = 6abb12
iquitos = bccc12
leticia = 896d12
inirida = cda113
mauta = 6abb13
maranon = bccc13 #San Lorenzo
requena_amazon = 896d13
contamama = cda114
leguizamo = 6abb14 #Puerto Leguizamo
jurua = bccc14
carauari = 896d14
itamarati = cda115
eirunepe = 6abb15
ipixuna = bccc15
cruzeiro_do_sul = 896d15
tarauaca = cda116
feijo = 6abb16
laco = bccc16 #Sena Madureira
acre_brazil = 896d16
brasileia = cda117
cobija_amazon = 6abb17
pamahuaya = bccc17 #Riberalta
guayaramerin = 896d17
inapari = cda118
tambopata = 6abb18 #Puerto Maldonado
mazuko = bccc18
jacareacanga = 896d18
apui_amazon = cda119
humaita = 6abb19
pacaja = bccc19
xipaia = 896d19 #Altamira
uruara = cda11a

#WASTELANDS
amazon_jungle_et1 = 01018d
amazon_jungle_et2 = 01018e
amazon_jungle_et3 = 01018f
amazon_jungle_et4 = 010190
amazon_jungle_et5 = 010191
amazon_jungle_et6 = 010192
amazon_jungle_et7 = 010193
amazon_jungle_et8 = 010194
amazon_jungle_et9 = 010195
amazon_jungle_et10 = 010196
amazon_jungle_et11 = 010197
amazon_jungle_et12 = 010198
amazon_jungle_et13 = 010199
amazon_jungle_et14 = 01019a
amazon_jungle_et15 = 01019b
#amazon_jungle_et16 = 01019c
tama_mountains_et = 01019d
pantanal_forest_et = 01019e
pantanal_swamp_et = 01019f
ayoreo_forest_et = 0101a0
chak_xana_volcano_et = 0101a1
aucanquilcha_volcano_et1 = 0101a2
aucanquilcha_volcano_et2 = 0101a3
pissis_mountains_et = 0101a4
villarica_forest_et = 0101a5
puyehue_forest_et = 0101a6
piren_forest_et = 0101a7
nansen_forest_et = 0101a8
paine_forest_et = 0101a9
cololo_mountains_et = 0101aa

###############
### Oceania ###
###############

#WASTELANDS
#central_range_mountains_et = 0101ad

#arrente = 6abb1a #Alice Springs
#luritja = bccc1a #Papunya
#pitjantjatjara = 896d1a #Uluru
